Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,LIT301,DPIT301,FIT301,MV301,MV302,P301,P302,AIT401,AIT402,FIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
22/12/2015 10:00:00,1.8705,700.86,1,1,0,6.477,199.53,7.079,1.2307,1,849.3,15.271,1.0815,1,0,1,0,0.0191,175.48,0.9426,1,0,0,0,98.28,0.0094,0.0096,0.0093,0.8789,0.3572,0.3874,0.8179,1,0,307.68,301.18,300.37,0.8845,1,0,0,Normal
22/12/2015 10:00:01,1.7509,701.39,1,1,0,6.398,199.68,6.973,1.1998,1,848.95,15.195,1.0494,1,0,1,0,0.0222,180.56,1.0358,1,0,0,0,100.22,0.0109,0.0099,0.0097,0.8556,0.3856,0.3908,0.8317,1,0,301.03,294.71,300.97,0.8884,1,0,0,Normal
22/12/2015 10:00:02,1.7941,702.17,1,1,0,6.416,199.38,7.017,1.239,1,848.23,14.907,1.0557,1,0,1,0,0.0176,176.63,1.0407,1,0,0,0,99.93,0.011,0.011,0.0108,0.9449,0.4068,0.4674,0.7724,1,0,298.8,299.82,295.74,0.9313,1,0,0,Normal
22/12/2015 10:00:03,1.8003,702.7,1,1,0,6.421,201.49,6.989,1.1829,1,848.99,15.579,1.1103,1,0,1,0,0.0206,177.74,1.0053,1,0,0,0,99.69,0.0107,0.0096,0.0085,0.9089,0.4052,0.4001,0.793,1,0,295.75,298.74,298.97,0.8759,1,0,0,Normal
22/12/2015 10:00:04,1.7972,703.81,1,1,0,6.526,199.85,6.904,1.1989,1,849.08,16.232,1.0923,1,0,1,0,0.0206,174.93,0.9649,1,0,0,0,101.14,0.0108,0.0092,0.0114,0.9422,0.4278,0.3824,0.8023,1,0,298.52,302.77,305.12,0.9262,1,0,0,Normal
22/12/2015 10:00:05,1.7638,704.64,1,1,0,6.554,198.17,7.031,1.1936,1,848.49,14.557,1.0857,1,0,1,0,0.0211,177.09,1.0158,1,0,0,0,101.36,0.0125,0.0103,0.0108,0.8629,0.3736,0.4104,0.8089,1,0,300.75,301.04,297.96,0.907,1,0,0,Normal
22/12/2015 10:00:06,1.8289,705.9,1,1,0,6.381,201.31,6.951,1.2315,1,850.23,14.59,1.1385,1,0,1,0,0.0208,176.64,1.0569,1,0,0,0,99.75,0.0092,0.0109,0.0098,0.9363,0.4108,0.4547,0.8028,1,0,295.78,299.9,297.11,0.9293,1,0,0,Normal
22/12/2015 10:00:07,1.8243,706.48,1,1,0,6.455,201.55,7.052,1.1863,1,848.84,14.744,1.1284,1,0,1,0,0.0202,176.26,1.0529,1,0,0,0,100.23,0.0092,0.0101,0.0089,0.9107,0.4112,0.4217,0.8316,1,0,295.87,297.19,301.55,0.9154,1,0,0,Normal
22/12/2015 10:00:08,1.8598,706.92,1,1,0,6.595,201.3,6.984,1.2304,1,847.68,14.882,1.0806,1,0,1,0,0.0202,179.63,0.944,0,0,0,0,100.69,0.0084,0.0091,0.0097,0.9468,0.4026,0.411,0.7619,1,0,307.17,305.53,304.09,0.9249,1,0,0,Normal
22/12/2015 10:00:09,1.7819,707.79,1,1,0,6.456,196.66,6.961,1.2665,1,847.18,14.841,1.1127,1,0,1,0,0.0168,176.89,1.038,1,0,0,0,100.38,0.0117,0.0085,0.0095,0.938,0.3858,0.4089,0.8232,1,0,297.22,299.82,290.28,0.8693,1,0,0,Normal
22/12/2015 10:00:10,1.7445,708.98,1,1,0,6.456,200.26,7.072,1.1426,1,848.93,15.005,1.0607,1,0,1,0,0.0209,175.4,0.982,1,0,0,0,100.07,0.0096,0.0081,0.0113,0.8815,0.4422,0.4137,0.8021,1,0,301.32,299.67,298.54,0.9062,1,0,0,Normal
22/12/2015 10:00:11,1.8336,709.53,1,1,0,6.595,202.91,7.018,1.2233,1,847.98,15.438,1.1221,1,0,1,0,0.0186,171.42,0.9634,1,0,0,0,99.33,0.0112,0.0098,0.0111,0.9248,0.4163,0.4261,0.8006,1,0,302.05,299.07,300.97,0.8961,1,0,0,Normal
22/12/2015 10:00:12,1.8676,709.83,1,1,0,6.399,197.57,7.058,1.2317,1,848.92,15.314,1.0995,1,0,1,0,0.0182,175.15,0.9797,1,0,0,0,100.98,0.0099,0.0106,0.0114,0.887,0.4041,0.4112,0.8262,1,0,303.46,298.57,298.01,0.9408,1,0,0,Normal
22/12/2015 10:00:13,1.698,709.98,1,1,0,6.432,199.9,7.064,1.2308,1,849.66,15.044,1.0422,1,0,1,0,0.0183,174.31,1.0137,1,0,0,0,100.07,0.011,0.0101,0.0092,0.9007,0.41,0.429,0.8288,1,0,306.46,297.7,302.62,0.9055,1,0,0,Normal
22/12/2015 10:00:14,1.8915,710.63,1,1,0,6.288,198.95,6.962,1.206,1,850.17,15.938,1.138,1,0,1,0,0.0188,173.2,1.0148,1,0,0,0,98.68,0.0118,0.0099,0.0097,0.9089,0.3781,0.4068,0.7974,1,0,300.83,300.84,292.64,0.873,1,0,0,Normal
22/12/2015 10:00:15,1.8036,711.3,1,1,0,6.652,200.62,6.984,1.136,1,848.12,15.268,1.1424,1,0,1,0,0.0231,173.34,0.9909,1,0,0,0,100.24,0.012,0.0112,0.0101,0.9618,0.4351,0.395,0.8291,1,0,301.94,304.11,297.11,0.9206,1,0,0,Normal
